Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
1,2022-08-04,Sarah,Equipe Nebula,Infraestrutura,Backup em Nuvem,1,1330.07,931.04,Viana,DF,centro-oeste
2,2023-10-15,Benício,Equipe Nebula,Consultoria,Auditoria de Sistemas,5,1149.22,947.22,Moreira S.A.,AM,norte
3,2023-09-12,Benício,Equipe Nebula,Consultoria,Consultoria em TI,3,802.19,432.31,Rodrigues - ME,BA,nordeste
4,2025-04-06,Renan,Equipe Nebula,Desenvolvimento,Automação de Processos,6,542.93,293.9,Duarte Moreira S/A,AM,norte
5,2024-11-23,Renan,Equipe Nebula,Consultoria,Treinamento em TI,17,687.27,517.24,da Rosa,RJ,sudeste
6,2022-09-06,Vinicius,Equipe Nebula,Desenvolvimento,Integração de Sistemas,16,326.51,274.6,Fogaça,PE,nordeste
7,2023-11-29,Julia,Equipe Nebula,Consultoria,Consultoria em TI,11,543.97,293.23,Freitas,PA,norte
8,2024-11-17,Renan,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,3,764.04,602.16,Moura Costela - EI,GO,centro-oeste
9,2023-02-11,Julia,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,17,773.3,428.21,Lopes,BA,nordeste
10,2024-08-31,Julia,Equipe Nebula,Consultoria,Auditoria de Sistemas,8,200.68,137.61,Oliveira,MT,centro-oeste
11,2024-12-19,Renan,Equipe Nebula,Consultoria,Treinamento em TI,18,1077.9,810.03,Ferreira,RS,sul
12,2024-01-29,Benício,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,15,901.74,590.79,da Cruz Cavalcanti - EI,RO,norte
13,2023-09-26,Renan,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,3,304.03,259.64,Gonçalves Moraes - EI,SP,sudeste
14,2022-10-02,Renan,Equipe Nebula,Consultoria,Treinamento em TI,10,1138.06,779.69,Costela,DF,centro-oeste
15,2023-07-26,Vinicius,Equipe Nebula,Desenvolvimento,Integração de Sistemas,14,385.53,238.39,Silva,SP,sudeste
16,2023-07-28,Renan,Equipe Nebula,Consultoria,Treinamento em TI,12,1293.88,960.06,Araújo,BA,nordeste
17,2025-04-17,Vinicius,Equipe Nebula,Infraestrutura,Backup em Nuvem,7,918.39,810.65,da Rocha Carvalho - ME,RO,norte
18,2022-11-05,Benício,Equipe Nebula,Desenvolvimento,Automação de Processos,11,165.17,130.58,Viana S.A.,RO,norte
19,2024-12-27,Benício,Equipe Nebula,Consultoria,Treinamento em TI,18,1316.98,738.25,Lima Ltda.,AM,norte
20,2025-02-24,Vinicius,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,3,950.59,648.58,da Costa,BA,nordeste
21,2024-08-03,Renan,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,6,1173.07,922.26,Melo Cavalcanti Ltda.,CE,nordeste
22,2023-07-21,Sarah,Equipe Nebula,Consultoria,Gestão de Projetos de TI,12,881.98,474.51,da Luz,PE,nordeste
23,2025-02-17,Benício,Equipe Nebula,Infraestrutura,Hospedagem de Sites,20,322.56,220.72,Nogueira Almeida - EI,GO,centro-oeste
24,2023-08-22,Julia,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,9,1326.64,1122.72,Farias,RS,sul
25,2022-09-07,Benício,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,17,705.15,353.77,da Mota,MT,centro-oeste
26,2024-07-26,Julia,Equipe Nebula,Consultoria,Consultoria em TI,5,430.13,371.37,Nunes Ltda.,BA,nordeste
27,2024-06-20,Renan,Equipe Nebula,Consultoria,Gestão de Projetos de TI,13,548.19,331.2,da Rocha - EI,PE,nordeste
28,2024-11-09,Sarah,Equipe Nebula,Infraestrutura,Gerenciamento de Redes,9,678.59,476.42,Ribeiro Cardoso e Filhos,PR,sul
29,2024-07-07,Benício,Equipe Nebula,Consultoria,Gestão de Projetos de TI,8,1144.96,845.42,Lopes Ramos Ltda.,CE,nordeste
30,2025-03-12,Renan,Equipe Nebula,Infraestrutura,Hospedagem de Sites,6,1118.38,817.97,Pires S.A.,RS,sul
31,2022-06-22,Benício,Equipe Nebula,Infraestrutura,Hospedagem de Sites,6,189.39,123.55,Pires,MT,centro-oeste
32,2023-04-15,Sarah,Equipe Nebula,Consultoria,Treinamento em TI,8,490.46,335.03,Barros,PA,norte
33,2022-07-06,Vinicius,Equipe Nebula,Consultoria,Treinamento em TI,2,957.86,705.39,Pires,SP,sudeste
34,2022-07-11,Julia,Equipe Nebula,Desenvolvimento,Desenvolvimento Web,6,1290.02,714.66,Teixeira S/A,AM,norte
35,2023-09-15,Julia,Equipe Nebula,Infraestrutura,Backup em Nuvem,9,1179.04,709.22,Carvalho,BA,nordeste
36,2025-04-28,Julia,Equipe Nebula,Desenvolvimento,Integração de Sistemas,3,1475.93,1193.99,Correia - EI,BA,nordeste
37,2023-01-11,Vinicius,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,12,1126.48,650.92,Rodrigues Ltda.,DF,centro-oeste
38,2024-11-21,Renan,Equipe Nebula,Infraestrutura,Hospedagem de Sites,20,724.69,567.84,Nascimento S.A.,PR,sul
39,2023-02-15,Benício,Equipe Nebula,Infraestrutura,Backup em Nuvem,8,382.92,214.6,Monteiro da Costa e Filhos,RS,sul
40,2025-01-23,Benício,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,12,166.02,103.31,Nascimento e Filhos,PE,nordeste
41,2024-10-27,Benício,Equipe Nebula,Consultoria,Treinamento em TI,8,427.59,362.04,Barbosa Rocha S.A.,GO,centro-oeste
42,2022-10-11,Renan,Equipe Nebula,Infraestrutura,Hospedagem de Sites,13,197.65,153.39,Pinto Barros Ltda.,PE,nordeste
43,2022-11-22,Sarah,Equipe Nebula,Infraestrutura,Suporte Técnico,14,1457.33,1172.27,Freitas,RO,norte
44,2024-05-30,Benício,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,2,610.3,536.58,Carvalho,PR,sul
45,2022-10-26,Benício,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,14,1407.98,705.22,Silva - ME,SC,sul
46,2022-10-28,Sarah,Equipe Nebula,Infraestrutura,Monitoramento de Sistemas,20,166.2,125.99,Aragão,CE,nordeste
47,2023-03-03,Vinicius,Equipe Nebula,Consultoria,Planejamento Estratégico de TI,19,551.38,416.94,Carvalho,SC,sul
48,2024-04-08,Benício,Equipe Nebula,Consultoria,Treinamento em TI,3,643.97,350.32,da Mata,BA,nordeste
49,2022-11-21,Sarah,Equipe Nebula,Desenvolvimento,Integração de Sistemas,15,952.14,718.66,Pires,SC,sul
50,2022-11-29,Julia,Equipe Nebula,Desenvolvimento,Criação de Aplicativos,12,1053.09,774.23,da Rocha,CE,nordeste
51,2022-06-29,Sarah,Equipe Nebula,Infraestrutura,Suporte Técnico,8,1205.68,754.66,Costela,CE,nordeste
