Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
1,2024-01-20,Rafaela,Equipe Orion,Infraestrutura,Backup em Nuvem,16,592.7,348.65,Costela Duarte S.A.,RJ,sudeste
2,2022-07-12,Rafaela,Equipe Orion,Infraestrutura,Hospedagem de Sites,8,495.51,337.06,Rodrigues,GO,centro-oeste
3,2025-02-03,Rebeca,Equipe Orion,Infraestrutura,Backup em Nuvem,5,789.87,480.69,Cardoso,AM,norte
4,2024-05-17,Ana Lívia,Equipe Orion,Infraestrutura,Suporte Técnico,19,1429.32,1142.86,Silva Viana Ltda.,RS,sul
5,2024-03-31,Ana Julia,Equipe Orion,Infraestrutura,Suporte Técnico,15,416.67,292.64,da Mota da Rosa S.A.,AM,norte
6,2023-06-07,Ana Julia,Equipe Orion,Infraestrutura,Monitoramento de Sistemas,19,784.06,572.37,Moraes,DF,centro-oeste
7,2022-06-04,Joaquim,Equipe Orion,Consultoria,Treinamento em TI,19,401.93,348.12,Sales,PE,nordeste
8,2023-09-14,Ana Julia,Equipe Orion,Consultoria,Gestão de Projetos de TI,15,1009.92,882.99,Novaes Alves S.A.,DF,centro-oeste
9,2025-05-17,Ana Lívia,Equipe Orion,Desenvolvimento,Criação de Aplicativos,3,574.29,371.08,Peixoto Cavalcanti - ME,PE,nordeste
10,2023-01-05,Rafaela,Equipe Orion,Desenvolvimento,Desenvolvimento de Software,2,598.14,402.77,Ferreira Caldeira Ltda.,MT,centro-oeste
11,2024-10-04,Rafaela,Equipe Orion,Consultoria,Gestão de Projetos de TI,8,1483.21,1322.34,Gonçalves,DF,centro-oeste
12,2023-12-12,Rebeca,Equipe Orion,Desenvolvimento,Criação de Aplicativos,15,310.27,172.3,Lima,RS,sul
13,2023-11-05,Ana Lívia,Equipe Orion,Desenvolvimento,Criação de Aplicativos,20,443.98,377.87,Jesus,PE,nordeste
14,2024-07-20,Joaquim,Equipe Orion,Desenvolvimento,Desenvolvimento Web,17,1125.03,625.23,das Neves,DF,centro-oeste
15,2025-04-26,Ana Julia,Equipe Orion,Infraestrutura,Backup em Nuvem,13,240.95,173.63,Mendes S.A.,PR,sul
16,2025-04-18,Joaquim,Equipe Orion,Infraestrutura,Backup em Nuvem,8,1088.54,942.77,Gonçalves,AM,norte
17,2022-09-02,Ana Lívia,Equipe Orion,Desenvolvimento,Integração de Sistemas,17,1168.76,968.21,Peixoto Moraes S.A.,RS,sul
18,2022-06-17,Ana Julia,Equipe Orion,Desenvolvimento,Automação de Processos,3,874.45,517.71,Martins,MG,sudeste
19,2023-03-08,Rebeca,Equipe Orion,Consultoria,Auditoria de Sistemas,6,1287.08,907.62,Caldeira,RO,norte
20,2023-12-15,Joaquim,Equipe Orion,Consultoria,Treinamento em TI,15,1115.36,916.47,Nogueira da Costa e Filhos,GO,centro-oeste
21,2024-01-29,Rebeca,Equipe Orion,Infraestrutura,Hospedagem de Sites,10,970.3,736.07,Fogaça,DF,centro-oeste
22,2024-03-19,Ana Lívia,Equipe Orion,Consultoria,Treinamento em TI,4,290.54,184.15,Pereira,MG,sudeste
23,2023-08-12,Ana Julia,Equipe Orion,Consultoria,Planejamento Estratégico de TI,20,618.78,311.85,Costa Lima S/A,PA,norte
24,2024-07-30,Ana Lívia,Equipe Orion,Infraestrutura,Backup em Nuvem,16,1070.31,910.65,Pires,RO,norte
25,2023-09-12,Ana Julia,Equipe Orion,Consultoria,Consultoria em TI,9,719.53,503.0,Silva,CE,nordeste
26,2025-05-17,Ana Lívia,Equipe Orion,Desenvolvimento,Desenvolvimento de Software,9,1404.79,841.0,Pereira,CE,nordeste
27,2024-02-14,Joaquim,Equipe Orion,Desenvolvimento,Desenvolvimento de Software,9,1023.58,537.88,Viana,RO,norte
28,2025-03-19,Ana Lívia,Equipe Orion,Desenvolvimento,Criação de Aplicativos,19,1315.74,941.48,da Costa Ltda.,GO,centro-oeste
29,2023-10-03,Joaquim,Equipe Orion,Desenvolvimento,Integração de Sistemas,5,982.58,548.34,Barros Ltda.,RO,norte
30,2022-08-10,Joaquim,Equipe Orion,Consultoria,Planejamento Estratégico de TI,2,575.16,444.45,Porto,RS,sul
31,2024-01-17,Ana Julia,Equipe Orion,Infraestrutura,Hospedagem de Sites,13,782.21,522.61,Viana,SP,sudeste
32,2024-12-14,Rafaela,Equipe Orion,Infraestrutura,Suporte Técnico,19,788.01,622.48,Fogaça,SC,sul
33,2023-04-21,Joaquim,Equipe Orion,Infraestrutura,Hospedagem de Sites,11,219.73,129.16,da Mota,SC,sul
34,2024-02-06,Joaquim,Equipe Orion,Infraestrutura,Monitoramento de Sistemas,11,472.87,312.53,da Paz,MT,centro-oeste
35,2023-07-24,Rafaela,Equipe Orion,Consultoria,Auditoria de Sistemas,4,1029.94,662.2,Melo Pereira Ltda.,MT,centro-oeste
36,2025-04-03,Rafaela,Equipe Orion,Consultoria,Treinamento em TI,10,1432.82,1082.07,Cardoso S.A.,SP,sudeste
37,2022-09-30,Ana Lívia,Equipe Orion,Desenvolvimento,Desenvolvimento Web,3,955.72,711.95,Monteiro e Filhos,PA,norte
38,2022-09-06,Rebeca,Equipe Orion,Desenvolvimento,Desenvolvimento Web,13,466.02,307.87,Costa S/A,MG,sudeste
39,2022-07-30,Rebeca,Equipe Orion,Infraestrutura,Suporte Técnico,8,627.92,378.11,Castro,AM,norte
40,2025-01-28,Joaquim,Equipe Orion,Consultoria,Consultoria em TI,18,1375.4,883.09,da Cruz - ME,AM,norte
41,2023-02-01,Joaquim,Equipe Orion,Consultoria,Auditoria de Sistemas,9,591.56,447.24,Castro,MG,sudeste
42,2022-09-06,Rebeca,Equipe Orion,Infraestrutura,Backup em Nuvem,2,1399.75,830.8,Ramos S.A.,SC,sul
43,2025-03-19,Ana Lívia,Equipe Orion,Consultoria,Planejamento Estratégico de TI,19,1393.46,1035.96,Vieira Dias Ltda.,GO,centro-oeste
44,2022-07-23,Ana Julia,Equipe Orion,Desenvolvimento,Integração de Sistemas,7,903.47,468.41,Aragão,PR,sul
45,2023-09-09,Rebeca,Equipe Orion,Desenvolvimento,Desenvolvimento de Software,5,1447.8,1153.82,Porto S/A,RJ,sudeste
46,2024-05-03,Ana Julia,Equipe Orion,Desenvolvimento,Automação de Processos,20,651.8,432.08,Costa Rezende e Filhos,GO,centro-oeste
47,2022-07-03,Ana Julia,Equipe Orion,Desenvolvimento,Integração de Sistemas,3,895.31,518.51,Correia,CE,nordeste
48,2023-03-04,Ana Lívia,Equipe Orion,Consultoria,Planejamento Estratégico de TI,18,161.5,114.51,Fernandes Oliveira S.A.,PE,nordeste
49,2022-12-15,Joaquim,Equipe Orion,Consultoria,Auditoria de Sistemas,17,831.31,650.88,Gonçalves,SP,sudeste
50,2023-10-01,Rebeca,Equipe Orion,Infraestrutura,Monitoramento de Sistemas,3,861.9,558.78,Barros,SP,sudeste
51,2022-12-03,Rafaela,Equipe Orion,Consultoria,Auditoria de Sistemas,1,674.15,580.73,Costela,RO,norte
52,2023-03-04,Rebeca,Equipe Orion,Consultoria,Treinamento em TI,13,155.1,119.65,Teixeira Castro Ltda.,RO,norte
53,2024-05-08,Joaquim,Equipe Orion,Consultoria,Auditoria de Sistemas,4,1083.02,616.68,da Costa - ME,MT,centro-oeste
54,2024-10-14,Rebeca,Equipe Orion,Consultoria,Auditoria de Sistemas,17,437.23,298.05,Nunes,PE,nordeste
55,2023-05-20,Ana Lívia,Equipe Orion,Infraestrutura,Gerenciamento de Redes,11,565.85,368.68,Jesus - EI,PE,nordeste
56,2025-05-10,Joaquim,Equipe Orion,Consultoria,Consultoria em TI,4,878.45,481.25,Costela,BA,nordeste
57,2023-02-19,Ana Lívia,Equipe Orion,Desenvolvimento,Desenvolvimento Web,15,229.97,173.96,da Costa Ribeiro - EI,SC,sul
58,2023-10-25,Ana Julia,Equipe Orion,Infraestrutura,Hospedagem de Sites,9,1394.32,789.53,Nascimento,AM,norte
59,2024-11-15,Ana Julia,Equipe Orion,Desenvolvimento,Automação de Processos,19,1100.1,662.59,da Rosa Barros - ME,RJ,sudeste
60,2022-08-13,Ana Julia,Equipe Orion,Infraestrutura,Suporte Técnico,17,835.33,558.66,Moreira,PA,norte
61,2025-05-25,Ana Julia,Equipe Orion,Infraestrutura,Gerenciamento de Redes,19,466.6,338.72,Pereira S.A.,SP,sudeste
