Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
1,2023-10-20,Levi,Equipe Vega,Consultoria,Consultoria em TI,19,1291.1,990.98,Pereira,GO,centro-oeste
2,2024-05-10,Bruno,Equipe Vega,Desenvolvimento,Desenvolvimento de Software,16,1368.31,859.97,Porto,RO,norte
3,2023-10-15,Yago,Equipe Vega,Desenvolvimento,Desenvolvimento de Software,20,528.94,332.92,Fernandes Sales S/A,AM,norte
4,2025-04-26,Yago,Equipe Vega,Desenvolvimento,Criação de Aplicativos,5,733.0,486.4,Barros - ME,RJ,sudeste
5,2023-02-15,Brenda,Equipe Vega,Desenvolvimento,Desenvolvimento de Software,19,666.41,368.85,Cunha,SP,sudeste
6,2024-06-16,Yago,Equipe Vega,Desenvolvimento,Desenvolvimento Web,18,1252.56,733.31,Ribeiro,DF,centro-oeste
7,2022-07-28,Bruno,Equipe Vega,Consultoria,Gestão de Projetos de TI,15,736.48,523.78,Lopes,MG,sudeste
8,2024-07-20,Yago,Equipe Vega,Desenvolvimento,Desenvolvimento Web,10,196.41,156.98,Duarte,GO,centro-oeste
9,2024-01-16,Levi,Equipe Vega,Consultoria,Gestão de Projetos de TI,12,573.19,305.52,Barbosa S.A.,PR,sul
10,2024-03-04,Yago,Equipe Vega,Infraestrutura,Monitoramento de Sistemas,12,263.2,157.48,Ferreira Costela S.A.,GO,centro-oeste
11,2024-09-06,Bruno,Equipe Vega,Infraestrutura,Gerenciamento de Redes,12,1055.75,674.88,Fogaça S/A,BA,nordeste
12,2023-08-14,Brenda,Equipe Vega,Desenvolvimento,Criação de Aplicativos,7,338.36,209.69,Dias - EI,RS,sul
13,2025-03-28,Bruno,Equipe Vega,Consultoria,Planejamento Estratégico de TI,4,845.88,705.96,Gomes Dias S/A,MG,sudeste
14,2022-08-17,Levi,Equipe Vega,Consultoria,Treinamento em TI,5,744.19,584.53,Cardoso Azevedo Ltda.,MT,centro-oeste
15,2022-07-01,Brenda,Equipe Vega,Infraestrutura,Monitoramento de Sistemas,14,1148.2,863.21,Peixoto e Filhos,MT,centro-oeste
16,2024-04-27,Brenda,Equipe Vega,Infraestrutura,Suporte Técnico,17,323.79,237.92,Santos Rocha S.A.,RO,norte
