Id,data_venda,vendedor,equipe,categoria_servico,servico,quantidade,preco_unitario,custo,cliente,estado,regiao
1,2024-06-28,João Vitor,Equipe Zenith,Consultoria,Auditoria de Sistemas,8,1182.69,754.55,Aragão,RO,norte
2,2024-11-05,Alexia,Equipe Zenith,Desenvolvimento,Criação de Aplicativos,8,1471.07,1147.21,Martins,DF,centro-oeste
3,2022-07-18,Alexia,Equipe Zenith,Consultoria,Auditoria de Sistemas,1,1236.4,1069.21,Aragão,PE,nordeste
4,2023-08-09,Evelyn,Equipe Zenith,Desenvolvimento,Desenvolvimento Web,10,747.03,484.83,Melo,PE,nordeste
5,2024-12-29,Henrique,Equipe Zenith,Desenvolvimento,Criação de Aplicativos,3,1375.72,864.44,Cunha,PE,nordeste
6,2025-01-11,Henrique,Equipe Zenith,Consultoria,Gestão de Projetos de TI,8,431.73,302.47,da Costa da Conceição - ME,MT,centro-oeste
7,2024-02-13,Henrique,Equipe Zenith,Consultoria,Gestão de Projetos de TI,14,1378.52,994.61,da Mota,RJ,sudeste
8,2025-02-08,Evelyn,Equipe Zenith,Infraestrutura,Hospedagem de Sites,7,1212.94,637.13,Rezende,DF,centro-oeste
9,2022-10-31,Nina,Equipe Zenith,Infraestrutura,Backup em Nuvem,5,1432.46,925.41,Martins,RJ,sudeste
10,2023-12-20,Alexia,Equipe Zenith,Consultoria,Treinamento em TI,1,208.17,140.56,Fogaça,SC,sul
11,2024-07-12,Nina,Equipe Zenith,Desenvolvimento,Integração de Sistemas,14,989.45,657.31,Gomes,PA,norte
12,2023-04-06,Alexia,Equipe Zenith,Desenvolvimento,Desenvolvimento Web,20,951.96,570.12,Rodrigues,GO,centro-oeste
13,2025-02-23,Evelyn,Equipe Zenith,Consultoria,Treinamento em TI,7,1070.08,564.17,Nogueira da Cunha S.A.,SP,sudeste
14,2024-10-25,Nina,Equipe Zenith,Consultoria,Treinamento em TI,2,772.57,604.12,Pires e Filhos,RO,norte
15,2022-12-29,Henrique,Equipe Zenith,Infraestrutura,Backup em Nuvem,14,1123.52,566.3,Peixoto,AM,norte
16,2023-09-16,João Vitor,Equipe Zenith,Infraestrutura,Hospedagem de Sites,7,264.82,178.0,da Luz,PA,norte
17,2024-06-26,João Vitor,Equipe Zenith,Infraestrutura,Gerenciamento de Redes,7,267.63,134.4,Fogaça Mendes S.A.,SC,sul
18,2023-04-10,Henrique,Equipe Zenith,Consultoria,Gestão de Projetos de TI,7,733.42,540.85,Carvalho,BA,nordeste
19,2025-03-09,Evelyn,Equipe Zenith,Desenvolvimento,Desenvolvimento de Software,14,774.89,449.95,Moreira,CE,nordeste
20,2023-06-23,Nina,Equipe Zenith,Desenvolvimento,Desenvolvimento Web,11,816.75,635.09,Caldeira,SP,sudeste
21,2024-01-23,Nina,Equipe Zenith,Consultoria,Gestão de Projetos de TI,7,353.14,284.2,Azevedo,PA,norte
22,2024-03-20,Evelyn,Equipe Zenith,Desenvolvimento,Criação de Aplicativos,4,944.88,536.47,Jesus,RS,sul
23,2024-05-24,João Vitor,Equipe Zenith,Infraestrutura,Hospedagem de Sites,4,573.69,439.6,Pires,SC,sul
24,2024-10-25,Henrique,Equipe Zenith,Infraestrutura,Hospedagem de Sites,1,1079.94,709.66,Ribeiro Aragão Ltda.,GO,centro-oeste
25,2022-07-13,Alexia,Equipe Zenith,Infraestrutura,Monitoramento de Sistemas,16,1175.06,962.64,Ribeiro e Filhos,MG,sudeste
26,2024-03-18,João Vitor,Equipe Zenith,Infraestrutura,Gerenciamento de Redes,16,711.82,595.34,da Mota,AM,norte
27,2024-01-18,João Vitor,Equipe Zenith,Desenvolvimento,Criação de Aplicativos,15,550.51,494.78,Azevedo Jesus Ltda.,RS,sul
28,2023-02-13,Henrique,Equipe Zenith,Infraestrutura,Gerenciamento de Redes,14,1090.67,864.77,Cunha,PR,sul
29,2024-12-15,Evelyn,Equipe Zenith,Desenvolvimento,Automação de Processos,13,172.34,151.41,Costela,SC,sul
30,2023-04-20,Nina,Equipe Zenith,Desenvolvimento,Desenvolvimento Web,3,1003.62,678.34,Castro Porto S/A,CE,nordeste
31,2023-03-30,Nina,Equipe Zenith,Consultoria,Auditoria de Sistemas,4,464.44,306.59,Fogaça,BA,nordeste
32,2025-03-17,Evelyn,Equipe Zenith,Consultoria,Gestão de Projetos de TI,10,1162.28,958.57,Fernandes,GO,centro-oeste
33,2025-03-16,Nina,Equipe Zenith,Desenvolvimento,Integração de Sistemas,17,688.49,527.74,da Mata S/A,SP,sudeste
34,2023-04-24,Nina,Equipe Zenith,Consultoria,Planejamento Estratégico de TI,8,282.21,223.18,Duarte,RS,sul
35,2023-12-28,Nina,Equipe Zenith,Infraestrutura,Suporte Técnico,16,444.25,302.75,Fernandes Correia S/A,AM,norte
36,2023-04-06,Nina,Equipe Zenith,Infraestrutura,Suporte Técnico,17,1498.58,964.97,Azevedo Pinto Ltda.,DF,centro-oeste
37,2023-03-25,Henrique,Equipe Zenith,Consultoria,Treinamento em TI,10,1341.7,672.78,Souza - ME,MG,sudeste
38,2025-05-11,Evelyn,Equipe Zenith,Infraestrutura,Suporte Técnico,6,1095.2,875.78,Cardoso,MT,centro-oeste
39,2022-11-17,Evelyn,Equipe Zenith,Consultoria,Auditoria de Sistemas,1,953.83,564.55,Silva,PE,nordeste
40,2024-07-07,Nina,Equipe Zenith,Desenvolvimento,Desenvolvimento Web,3,393.97,299.48,Caldeira,AM,norte
41,2022-12-22,Henrique,Equipe Zenith,Desenvolvimento,Desenvolvimento de Software,20,524.25,456.94,Caldeira Correia - EI,PR,sul
42,2024-09-12,Alexia,Equipe Zenith,Consultoria,Treinamento em TI,3,664.76,335.9,Azevedo Barbosa S/A,PA,norte
43,2022-12-12,Henrique,Equipe Zenith,Infraestrutura,Hospedagem de Sites,5,298.79,261.76,Costa,SC,sul
